Dataset,Subset,Smoothness,Integer Percentage,Average Run Length,Gorilla CR,Sprintz CR,ToBinary CR,gzip CR,DFCMGorilla CR,DFCMSprintz CR
argonne,318,7340.651925,1,2.07154047,0.05,0.52,0.84,0.050933786,,
argonne,788,13892.27323,1,1.003861004,0.21,0.53,0.58,0.283973796,,
argonne,41,38352.95023,1,1.534482759,0.14,0.61,0.76,0.069278211,,
argonne,571,59283.61355,1,1.703128732,0.06,0.6,0.81,0.057179017,,
argonne,743,37610.74959,1,1.001178319,0.21,0.53,0.57,0.286643125,,
argonne,327,37401.4471,1,1.621684504,0.09,0.64,0.83,0.069765359,,
argonne,115,5412571.447,0.00908605,1.004115226,0.78,0.72,0.78,0.373932327,,
argonne,929,7927.865621,1,1.778163975,0.05,0.61,0.87,0.058496592,,
argonne,585,18207.7653,1,1.510618216,0.08,0.63,0.79,0.057692308,,
argonne,1049,1416.064712,1,1.25877724,0.18,0.67,0.79,0.096152478,,
argonne,83,700.9240126,1,1.547279793,0.11,0.65,0.86,0.083023266,,
argonne,578,7332.22469,1,2.07154047,0.05,0.49,0.78,0.047851611,,
argonne,920,Infinity,1,2.011216566,0.04,0.53,0.84,0.052725386,,
argonne,1040,6155.616347,1,1.256992481,0.18,0.68,0.79,0.090048512,,
argonne,77,Infinity,1,1.754610463,0.13,0.54,0.76,0.063140765,,
argonne,311,23672.71435,1,1.003286385,0.22,0.53,0.57,0.292272291,,
argonne,123,449852.1724,0.005257305,1.002026342,0.82,0.77,0.81,0.363767045,,
argonne,547,68564.88508,1,2.235800697,0.06,0.49,0.85,0.047046687,,
argonne,775,1724.165909,1,1.00378993,0.21,0.52,0.57,0.283985888,,
argonne,48,4797.982678,1,1.61314459,0.09,0.6,0.79,0.052648523,,
argonne,781,1209239.059,1,1.006878176,0.23,0.55,0.6,0.213024354,,
argonne,70,Infinity,1,1.348263714,0.13,0.74,0.87,0.088574905,,
argonne,1047,4628.546924,1,1.520812183,0.16,0.61,0.78,0.071780573,,
argonne,329,1356.263911,1,1.436861314,0.11,0.69,0.83,0.077893901,,
argonne,927,3943.666321,1,2.007273877,0.04,0.53,0.82,0.047148092,,
argonne,84,1008184.516,1,1.394865925,0.15,0.68,0.83,0.084463133,,
argonne,786,1038.681615,1,1.001516588,0.19,0.55,0.6,0.267863934,,
argonne,772,127477.3832,1,1.007222724,0.22,0.6,0.65,0.245021839,,
argonne,540,2011.17776,1,1.942118227,0.05,0.5,0.75,0.051173653,,
argonne,124,1600.207696,0.00473653,1.001780415,0.72,0.73,0.78,0.409431007,,
argonne,918,59283.61355,1,1.703128732,0.06,0.65,0.88,0.061540125,,
argonne,316,113111.7111,1,1.003746722,0.29,0.61,0.65,0.262637942,,
argonne,184,20823.67272,0.005571031,1.00302748,0.74,0.74,0.8,0.372041506,,
argonne,514,3233.378161,1,1.006009783,0.28,0.76,0.83,0.226448728,,
argonne,726,113563.1332,0.003483454,1.004248407,0.88,0.82,0.88,0.35346063,,
argonne,342,41546.06696,1,1.682717111,0.08,0.63,0.84,0.068908149,,
argonne,170,2930.923671,0.007622677,1.004948125,0.9,0.85,0.89,0.36865711,,
argonne,1013,Infinity,1,1.502411874,0.14,0.62,0.78,0.085448167,,
argonne,24,51778.61973,1,1.570358952,0.11,0.63,0.83,0.075000723,,
argonne,987,128524.0926,1,1.245855045,0.2,0.68,0.79,0.092877461,,
argonne,389,69649.36987,1,1.509010297,0.18,0.71,0.9,0.08486935,,
argonne,973,45685.40056,1,1.530905398,0.16,0.6,0.79,0.076923077,,
argonne,719,470226.3676,0.003412969,1.003281963,0.7,0.71,0.76,0.353050333,,
argonne,177,129767.4418,0.00715198,1.003589744,0.76,0.71,0.76,0.393179951,,
