Dataset,Subset,Smoothness,Integer Percentage,Average Run Length,Gorilla CR,Sprintz CR,ToBinary CR,gzip CR,DFCMGorilla CR,DFCMSprintz CR
argonne,560,570.5132234,1,1.820446735,0.06,0.55,0.79,0.050729012,,
argonne,752,13936.32523,1,1.005138746,0.2,0.54,0.59,0.289081253,,
argonne,594,2070.77109,1,1.908727515,0.06,0.53,0.78,0.053983086,,
argonne,1058,51203.93524,1,1.340168244,0.15,0.65,0.78,0.087338245,,
argonne,907,666.3169429,1,1.676378306,0.05,0.62,0.83,0.057431121,,
argonne,309,8879.875888,1,1.002291242,0.2,0.52,0.56,0.289960441,,
argonne,799,322190.9597,1,1.00501002,0.22,0.52,0.56,0.296920787,,
argonne,50,1803.702291,1,1.572896596,0.13,0.59,0.76,0.071960394,,
argonne,68,69649.36987,1,1.509010297,0.13,0.65,0.84,0.081470664,,
argonne,593,1969.686675,1,1.603413143,0.08,0.64,0.83,0.065178864,,
argonne,755,292038.4277,1,1.006699304,0.2,0.55,0.6,0.272145246,,
argonne,567,4891.063985,1,1.629955047,0.07,0.6,0.79,0.048843601,,
argonne,103,3400.7669,1,1.538091716,0.07,0.61,0.78,0.061414465,,
argonne,331,1059.196552,1,1.447266209,0.12,0.73,0.87,0.072271436,,
argonne,57,15901.32645,1,1.463101939,0.1,0.64,0.79,0.057476567,,
argonne,900,1358.63978,1,1.618832237,0.05,0.64,0.83,0.058843564,,
argonne,558,15904.89954,1,1.46861268,0.08,0.64,0.79,0.054832149,,
argonne,1034,3412.783944,1,1.611472814,0.16,0.57,0.79,0.070720827,,
argonne,168,3619.46741,0.013513514,1.004900588,0.9,0.85,0.89,0.3745445,,
argonne,954,3315.950946,1,1.424570912,0.14,0.62,0.77,0.094421777,,
argonne,391,2458.103062,1,1.599884638,0.14,0.65,0.84,0.066635418,,
argonne,533,74686.73304,1,1.746764347,0.07,0.58,0.81,0.05864373,,
argonne,701,33627.9032,0.003207698,1.002143623,0.7,0.7,0.76,0.389044979,,
argonne,365,Infinity,1,1.412325752,0.14,0.7,0.84,0.070869251,,
argonne,157,1966.240049,0.008189263,1.002851928,0.85,0.79,0.84,0.371128967,,
argonne,739,80885.47554,0.003001072,1.003010753,0.7,0.7,0.76,0.384182404,,
argonne,953,465.2791392,1,1.782021425,0.05,0.59,0.84,0.057048265,,
argonne,1033,Infinity,1,1.425099322,0.14,0.62,0.78,0.081920317,,
argonne,150,364072.1754,0.005119454,1.003138822,0.78,0.73,0.78,0.359771766,,
argonne,362,73693.69012,1,1.487771112,0.15,0.73,0.91,0.083060109,,
argonne,706,463355.34,0.003463803,1.005398816,0.75,0.75,0.82,0.356735668,,
argonne,534,Infinity,1,1.603970223,0.07,0.62,0.79,0.057123778,,
argonne,998,4081.194397,1,1.587565104,0.15,0.59,0.79,0.066040395,,
argonne,396,2011.047889,1,1.389232127,0.2,0.75,0.9,0.093715842,,
argonne,159,23692.50772,0.001333778,1.006714789,0.77,0.71,0.77,0.335253475,,
argonne,965,1192.277493,1,1.330513988,0.16,0.66,0.79,0.089221066,,
argonne,32,3950.557146,1,1.891239571,0.12,0.5,0.74,0.052120608,,
argonne,1005,2392692.26,1,1.42605156,0.16,0.64,0.79,0.079807865,,
argonne,991,4053.158242,1,1.384154176,0.19,0.64,0.79,0.085612767,,
argonne,730,34057.83408,0.004195621,1.002629503,0.81,0.79,0.85,0.361922124,,
argonne,502,89860.6763,1,1.004462791,0.29,0.74,0.81,0.222945976,,
argonne,166,5492.223767,0.004173623,1.004614094,0.72,0.72,0.79,0.393335525,,
argonne,354,57711.63577,1,1.646561772,0.14,0.64,0.85,0.066907436,,
argonne,192,23602.71058,0.005973052,1.004886221,0.79,0.73,0.79,0.370573396,,
argonne,996,2884.343143,1,1.715211755,0.12,0.54,0.76,0.062036397,,
argonne,398,3193.412964,1,2.562388592,0.05,0.46,0.85,0.04490053,,
argonne,1002,7634.230518,1,1.264427075,0.16,0.67,0.78,0.087325105,,
argonne,35,54835.71341,1,1.552840562,0.13,0.63,0.83,0.075719675,,
argonne,708,2985.877936,0.002185451,1.002190923,0.73,0.73,0.79,0.38090099,,
argonne,962,9154.970664,1,1.3737207,0.15,0.65,0.78,0.085310841,,
argonne,195,114742.0055,0.005737235,1.001724634,0.76,0.71,0.76,0.402520183,,
argonne,353,10330.37153,1,1.607936998,0.12,0.72,0.93,0.069877966,,
argonne,161,2053.48686,0.005424732,1.004210005,0.88,0.83,0.87,0.36924191,,
argonne,505,4912.180716,1,1.002012651,0.27,0.74,0.81,0.242724351,,
argonne,737,13892.27324,0.001098298,1.003861004,0.73,0.73,0.8,0.391829815,,
argonne,566,55968.50908,1,1.711016379,0.06,0.6,0.81,0.057765152,,
argonne,754,2823.748397,1,1.003103662,0.19,0.54,0.59,0.283939965,,
argonne,330,90657.15102,1,1.385359845,0.15,0.78,0.91,0.080533923,,
argonne,102,69096.58212,1,2.719023491,0.07,0.42,0.86,0.044372124,,
argonne,592,Infinity,1,1.857659435,0.06,0.52,0.76,0.04743354,,
argonne,69,15816.4373,1,1.475764868,0.09,0.64,0.79,0.058715932,,
argonne,901,Infinity,1,1.857659435,0.05,0.58,0.84,0.051622364,,
argonne,559,Infinity,1,1.722288203,0.06,0.58,0.82,0.057707008,,
argonne,56,Infinity,1,1.570456754,0.08,0.63,0.79,0.06335762,,
argonne,1059,11362.17768,1,1.457220462,0.14,0.62,0.78,0.085968887,,
argonne,595,93225.09583,1,1.508815638,0.06,0.68,0.83,0.061279329,,
argonne,105,37401.4471,1,1.621684504,0.09,0.58,0.75,0.065806071,,
argonne,939,2546.689104,1,1.850344674,0.05,0.58,0.83,0.047792,,
argonne,337,2936.45747,1,1.473810339,0.09,0.65,0.82,0.059676613,,
argonne,753,8879.911275,1,1.002291242,0.21,0.52,0.56,0.289516442,,
argonne,561,4906.608015,1,1.792252803,0.07,0.57,0.81,0.054137121,,
argonne,51,Infinity,1,1.721192871,0.12,0.59,0.82,0.061607275,,
argonne,798,529800.1136,1,1.002506266,0.21,0.54,0.59,0.289375187,,
argonne,308,1046.456081,1,1.004876859,0.23,0.53,0.57,0.277378646,,
argonne,906,9674.805304,1,1.786574871,0.05,0.59,0.83,0.053205021,,
argonne,791,73240.3179,1,1.001976805,0.21,0.53,0.57,0.266878085,,
argonne,58,19823.08968,1,1.912830558,0.07,0.52,0.79,0.053268278,,
argonne,765,100063.5707,1,1.002503129,0.21,0.58,0.63,0.255963733,,
argonne,557,2652.121281,1,1.991407089,0.05,0.51,0.76,0.048413386,,
argonne,133,1035.248746,0.003595761,1.001516588,0.75,0.76,0.81,0.366606905,,
argonne,301,738054.7102,1,1.007363577,0.21,0.58,0.63,0.254955213,,
argonne,67,62752.52401,1,1.24194267,0.19,0.69,0.78,0.084882374,,
argonne,1050,199339.5091,1,1.745390546,0.12,0.54,0.78,0.065235612,,
argonne,930,1172.333153,1,4.278411054,0.03,0.28,0.87,0.026208263,,
argonne,93,10330.37153,1,1.607936998,0.1,0.65,0.84,0.065431062,,
argonne,568,7396.551876,1,1.785661126,0.06,0.51,0.74,0.046202875,,
argonne,306,42808.92623,1,1.003318125,0.22,0.52,0.57,0.277484969,,
argonne,134,1641300.199,0.005303324,1.0029843,0.82,0.76,0.81,0.371055893,,
argonne,908,22636.33893,1,1.722613459,0.05,0.6,0.84,0.056669036,,
argonne,550,Infinity,1,1.434052758,0.08,0.64,0.78,0.05662535,,
argonne,762,767250.9945,1,1.007761115,0.21,0.57,0.62,0.252980924,,
argonne,796,449790.7645,1,1.002534212,0.21,0.54,0.58,0.260610453,,
argonne,94,9745.882012,1,1.426804124,0.14,0.62,0.75,0.074945883,,
argonne,937,56157.41135,1,2.014445353,0.06,0.57,0.89,0.05479555,,
argonne,339,669.7333868,1,1.356546971,0.1,0.72,0.84,0.083511476,,
argonne,1057,2372.665489,1,1.332794308,0.16,0.66,0.78,0.089685992,,
argonne,60,1311.97875,1,1.679983693,0.08,0.57,0.75,0.056345758,,
argonne,709,20826.93336,0.004874652,1.00302748,0.74,0.74,0.8,0.371736292,,
argonne,963,66365.08785,1,1.355476345,0.16,0.64,0.77,0.075897365,,
argonne,399,622681.6951,1,3.064827065,0.07,0.39,0.88,0.038331705,,
argonne,997,19929.51476,1,1.455281491,0.15,0.63,0.79,0.082246511,,
argonne,34,42651.49924,1,1.810567735,0.08,0.56,0.78,0.056941876,,
argonne,1003,8911.131118,1,1.522364839,0.14,0.61,0.78,0.080626738,,
argonne,160,1270.241732,0.001395187,1.003150158,0.73,0.74,0.8,0.3861524,,
argonne,352,Infinity,1,2.083495146,0.09,0.54,0.85,0.056944764,,
argonne,736,56214.6264,0.006595637,1.001422764,0.78,0.78,0.84,0.362315276,,
argonne,504,338089.06,1,1.001374975,0.27,0.76,0.82,0.236867431,,
argonne,194,738054.6166,0.007830854,1.007363577,0.87,0.8,0.86,0.352943666,,
argonne,1004,5829.580306,1,1.863659728,0.12,0.51,0.79,0.062574408,,
argonne,33,7365.935079,1,2.342342342,0.11,0.45,0.79,0.050548145,,
argonne,990,51882.01393,1,1.352417883,0.15,0.66,0.79,0.08787273,,
argonne,964,40987.22464,1,1.190108192,0.18,0.7,0.79,0.095561791,,
argonne,158,116012.4105,0.004920554,1.011196351,0.85,0.79,0.85,0.33965385,,
argonne,193,340620.6992,0.009085826,1.004070747,0.88,0.83,0.87,0.371491629,,
argonne,503,22086.00143,1,1.003505128,0.28,0.76,0.82,0.227295715,,
argonne,731,382.5051802,0.00312989,1.002353556,0.7,0.71,0.76,0.39711817,,
argonne,355,713996.983,1,1.549518845,0.12,0.68,0.87,0.076341118,,
argonne,167,53391.2017,0.005018821,1.003195507,0.82,0.76,0.81,0.35116254,,
argonne,1032,130288.5426,1,1.395378486,0.19,0.63,0.78,0.084633507,,
argonne,738,77230.76423,0.003501401,1.004220003,0.84,0.78,0.84,0.365758527,,
argonne,952,10855.45254,1,1.760257913,0.05,0.6,0.83,0.060365014,,
argonne,397,Infinity,1,1.577411168,0.21,0.67,0.89,0.07578047,,
argonne,999,57413.92268,1,1.368227732,0.16,0.65,0.79,0.087181865,,
argonne,363,10872.35534,1,1.625879805,0.1,0.64,0.83,0.072136373,,
argonne,151,8879.875889,0.004570848,1.002291242,0.76,0.71,0.75,0.392857143,,
argonne,535,3950.445207,1,1.548358734,0.07,0.62,0.78,0.052539988,,
argonne,707,449790.7613,0.003639672,1.002534212,0.73,0.73,0.79,0.352884299,,
argonne,955,13936.54942,1,1.305869429,0.17,0.66,0.79,0.088944473,,
argonne,169,3706849.966,0.004304675,1.001677048,0.85,0.8,0.84,0.353145971,,
argonne,1035,7884.956656,1,1.287263227,0.16,0.67,0.78,0.08646997,,
argonne,700,893445.6584,0.003766787,1.005434783,0.72,0.73,0.78,0.364465605,,
argonne,532,15812.0151,1,1.489073881,0.07,0.64,0.79,0.056501566,,
argonne,156,8942906.734,0.004341758,1.00373599,0.89,0.84,0.88,0.379146597,,
argonne,364,74228.71461,1,1.531363734,0.17,0.7,0.9,0.084370066,,
argonne,390,4797.982678,1,1.61314459,0.1,0.64,0.84,0.055211327,,
argonne,686,125119.0248,0.004550155,1.002488594,0.73,0.73,0.8,0.371916118,,
argonne,818,1872557.904,1,1.002216967,0.22,0.53,0.57,0.272231561,,
argonne,216,114742.0054,1,1.001724634,0.21,0.53,0.57,0.297652314,,
argonne,672,100063.5714,0.003744959,1.002503129,0.87,0.79,0.86,0.343614463,,
argonne,440,10001.483,1,1.004514049,0.3,0.75,0.82,0.224430482,,
argonne,229,1035.248746,1,1.001516588,0.26,0.55,0.6,0.268090321,,
argonne,827,54473.42989,1,1.008468802,0.22,0.55,0.59,0.250203012,,
argonne,447,1600.503989,1,1.00378993,0.27,0.74,0.81,0.236920899,,
argonne,675,127477.383,0.00413679,1.007222724,0.89,0.82,0.9,0.332782314,,
argonne,211,30838.15455,0.007035453,1.003600111,0.87,0.81,0.86,0.374319158,,
argonne,681,79786.34811,0.005038079,1.003527752,0.79,0.79,0.85,0.365240105,,
argonne,820,165527.4225,1,1.004100041,0.22,0.53,0.57,0.279362489,,
argonne,478,50099.4501,1,1.004294918,0.27,0.74,0.81,0.232166673,,
argonne,227,381006.6995,1,1.001689475,0.22,0.54,0.58,0.290425558,,
argonne,829,195155.2359,1,1.00098912,0.21,0.52,0.56,0.292830831,,
argonne,471,2032.635907,1,1.004980631,0.27,0.73,0.8,0.237950811,,
argonne,643,23814.63114,0.001000333,1.006714789,0.77,0.7,0.76,0.33442153,,
argonne,485,9047.602039,1,1.006979695,0.27,0.73,0.8,0.226902431,,
argonne,816,8132.954755,1,1.005561415,0.21,0.58,0.63,0.251400906,,
argonne,218,3474.22459,1,1.005813953,0.23,0.57,0.61,0.251427223,,
argonne,688,2590.506949,0.001651073,1.004424779,0.75,0.74,0.81,0.391204738,,
argonne,482,25311.93901,1,1.006594169,0.3,0.76,0.83,0.226257748,,
argonne,644,1298455.434,0.009323566,1.00883087,0.83,0.78,0.85,0.328005874,,
argonne,476,418999.7377,1,1.002636625,0.26,0.73,0.79,0.238234669,,
argonne,220,820663.4162,1,1.004817536,0.25,0.59,0.63,0.267176288,,
argonne,811,20826.93333,1,1.00302748,0.19,0.55,0.59,0.272975385,,
argonne,449,42554.98323,1,1.002095637,0.3,0.75,0.82,0.238502175,,
argonne,845,23708.33376,1,1.003521954,0.21,0.52,0.56,0.290427959,,
argonne,280,515372,1,1.003512133,0.23,0.56,0.61,0.254733984,,
argonne,422,2070.619659,1,1.901128069,0.08,0.57,0.84,0.058493266,,
argonne,610,36227.47862,1,2.024428376,0.05,0.51,0.76,0.039399676,,
argonne,274,237595.7598,1,1.004040637,0.23,0.57,0.62,0.265449501,,
argonne,628,666.3169429,1,1.676378306,0.06,0.56,0.75,0.052974001,,
argonne,842,2121.247217,1,1.006664152,0.22,0.58,0.62,0.2679973,,
argonne,273,1286274.663,1,1.008250192,0.29,0.58,0.63,0.243864973,,
argonne,617,Infinity,1,2.124042879,0.05,0.48,0.76,0.044285845,,
argonne,425,86811.85503,1,1.005158307,0.27,0.74,0.8,0.234211976,,
argonne,889,Infinity,1,1.733074994,0.05,0.6,0.84,0.048736214,,
argonne,287,48186.65182,1,1.008465319,0.21,0.54,0.59,0.270436987,,
argonne,874,Infinity,1,5.31442623,0.03,0.22,0.87,0.02309694,,
argonne,880,59068.28093,1,2.482957061,0.04,0.45,0.85,0.044988416,,
argonne,621,Infinity,1,2.011216566,0.05,0.49,0.75,0.048146949,,
argonne,413,80180.06479,1,1.50221533,0.12,0.68,0.84,0.072433389,,
argonne,245,1270.241732,1,1.003150158,0.19,0.54,0.59,0.283998976,,
argonne,887,4906.608015,1,1.792252803,0.07,0.62,0.88,0.058097931,,
argonne,289,91364.14523,1,1.003773585,0.21,0.54,0.58,0.274403355,,
argonne,619,1358.63978,1,1.618832237,0.06,0.58,0.74,0.054040059,,
argonne,873,Infinity,1,1.434052758,0.06,0.67,0.82,0.058952481,,
argonne,242,110316.2844,1,1.00308024,0.23,0.54,0.58,0.281256994,,
argonne,414,700.9240126,1,1.547279793,0.17,0.71,0.92,0.086640635,,
argonne,626,41542.94833,1,1.877218225,0.06,0.53,0.75,0.05081979,,
argonne,477,100152.6561,1,1.002513306,0.27,0.75,0.81,0.229775256,,
argonne,645,1270.230017,0.001395187,1.003150158,0.73,0.74,0.8,0.385804296,,
argonne,221,254537.2799,1,1.002745577,0.23,0.54,0.58,0.273379622,,
argonne,483,78084.52813,1,1.007002975,0.29,0.78,0.86,0.194830737,,
argonne,810,1020.555154,1,1.005820977,0.23,0.6,0.64,0.250723392,,
argonne,448,3079.170965,1,1.00501002,0.28,0.74,0.81,0.242665507,,
argonne,484,7543.99263,1,1.004625,0.28,0.78,0.84,0.225244009,,
argonne,828,3628.183789,1,1.006022845,0.21,0.56,0.61,0.25041484,,
argonne,226,3706849.811,1,1.001677048,0.33,0.58,0.62,0.257847637,,
argonne,642,1046.750348,0.005822416,1.005121951,0.7,0.7,0.76,0.373652392,,
argonne,470,108494.3998,1,1.00617284,0.26,0.73,0.8,0.246313476,,
argonne,689,42799.22353,0.002617801,1.003456858,0.69,0.69,0.75,0.369119499,,
argonne,219,2985.882731,1,1.002190923,0.2,0.55,0.59,0.282979504,,
argonne,817,115833.9755,1,1.001724634,0.22,0.52,0.56,0.29735094,,
argonne,680,1969.865455,0.00477707,1.002966343,0.76,0.77,0.83,0.364538252,,
argonne,674,2786.820761,0.004764173,1.005911487,0.86,0.81,0.87,0.358005286,,
argonne,446,53616.10624,1,1.0066361,0.29,0.76,0.82,0.230710728,,
argonne,210,37609.18697,0.010198078,1.000785238,0.79,0.74,0.78,0.3935589,,
argonne,821,23814.63114,1,1.006714789,0.21,0.53,0.58,0.250491465,,
argonne,479,65346.35479,1,1.002028055,0.27,0.74,0.81,0.238738048,,
argonne,217,292034.9656,1,1.006699304,0.22,0.55,0.6,0.272251209,,
argonne,819,216804.6811,1,1.009649286,0.19,0.55,0.61,0.247164902,,
argonne,441,92072.36843,1,1.004046427,0.26,0.73,0.8,0.224151884,,
argonne,673,48186.61624,0.00351922,1.008465319,0.74,0.74,0.81,0.369413312,,
argonne,687,1209239.036,0.006030769,1.006878176,0.77,0.78,0.85,0.295905627,,
argonne,826,110856.4292,1,1.00323475,0.21,0.53,0.58,0.277930418,,
argonne,228,12120.63185,1,1.001904762,0.22,0.55,0.59,0.280040447,,
argonne,618,1172.333153,1,4.278411054,0.03,0.25,0.78,0.024202333,,
argonne,872,Infinity,1,1.686319765,0.06,0.66,0.9,0.063729623,,
argonne,288,166713.399,1,1.002488594,0.21,0.54,0.58,0.274631509,,
argonne,886,Infinity,1,1.600498857,0.05,0.63,0.83,0.052048232,,
argonne,243,208130.324,1,1.001914399,0.24,0.56,0.59,0.280139154,,
argonne,627,93366.14448,1,1.889064618,0.06,0.52,0.76,0.045006454,,
argonne,415,11632.88581,1,1.474301483,0.21,0.68,0.84,0.073987328,,
argonne,881,93225.09583,1,1.508815638,0.06,0.73,0.9,0.065685632,,
argonne,875,705.7970876,1,1.781506339,0.07,0.63,0.9,0.06102187,,
argonne,412,19823.08968,1,1.912830558,0.05,0.54,0.83,0.055067246,,
argonne,620,10626.9166,1,1.995592181,0.07,0.55,0.84,0.049678198,,
argonne,244,3619.467409,1,1.004900588,0.25,0.6,0.64,0.269235926,,
argonne,629,Infinity,1,1.579399142,0.06,0.58,0.74,0.055495948,,
argonne,843,70093.99855,1,1.0059375,0.21,0.53,0.57,0.275395434,,
argonne,286,1011.532196,1,1.005268935,0.27,0.6,0.65,0.25148753,,
argonne,888,Infinity,1,1.76542567,0.05,0.6,0.83,0.053083349,,
argonne,272,321613.5781,1,1.00501002,0.23,0.52,0.56,0.297274555,,
argonne,424,5868.039357,1,1.004614094,0.25,0.71,0.79,0.241384976,,
argonne,616,3812.545144,1,1.889029004,0.07,0.56,0.82,0.049294336,,
argonne,844,463355.3399,1,1.005398816,0.2,0.55,0.6,0.260443501,,
argonne,611,Infinity,1,1.814360119,0.07,0.57,0.81,0.05132854,,
argonne,423,61017.64833,1,1.645045542,0.13,0.65,0.89,0.075720149,,
argonne,275,191475.7833,1,1.001740428,0.22,0.54,0.58,0.267004367,,
argonne,281,5492.223769,1,1.004614094,0.2,0.53,0.58,0.287257476,,
argonne,257,14793.00959,1,1.004990643,0.24,0.55,0.59,0.277376807,,
argonne,859,76220.91315,1,2.005853358,0.05,0.54,0.85,0.049141128,,
argonne,401,73838.29327,1,1.481204134,0.16,0.7,0.88,0.076468767,,
argonne,633,61202.85316,1,1.746776084,0.07,0.58,0.81,0.057571688,,
argonne,866,1244.93247,1,2.194495413,0.04,0.51,0.84,0.050098361,,
argonne,268,168260.2392,1,1.004075533,0.23,0.58,0.62,0.271193191,,
argonne,892,647.0757524,1,1.760907003,0.05,0.59,0.84,0.05350453,,
argonne,634,7927.865621,1,1.778163975,0.07,0.56,0.81,0.054714555,,
argonne,406,463.9269498,1,1.541498791,0.11,0.66,0.85,0.075578831,,
argonne,250,2930.923671,1,1.004948125,0.26,0.6,0.64,0.264409753,,
argonne,895,Infinity,1,1.494045534,0.07,0.7,0.88,0.069129565,,
argonne,861,93366.14448,1,1.889064618,0.05,0.58,0.85,0.048765338,,
argonne,439,32469.69997,1,1.004736599,0.27,0.75,0.82,0.230576029,,
argonne,292,77356.52856,1,1.003291794,0.24,0.58,0.62,0.271906794,,
argonne,868,4891.063985,1,1.629955047,0.06,0.63,0.84,0.051586309,,
argonne,266,291050.4857,1,1.006132618,0.25,0.59,0.63,0.256538792,,
argonne,602,58508.00526,1,1.833026961,0.06,0.52,0.74,0.047698212,,
argonne,430,992.7856176,1,1.003140539,0.27,0.75,0.81,0.242069896,,
argonne,259,1.28E+08,1,1.003438001,0.25,0.58,0.63,0.267386509,,
argonne,857,Infinity,1,1.859527478,0.05,0.57,0.84,0.049631612,,
argonne,437,101005.3172,1,1.007628568,0.29,0.75,0.82,0.224960073,,
argonne,605,Infinity,1,1.918048318,0.06,0.51,0.75,0.0505699,,
argonne,261,105195.0707,1,1.003601873,0.29,0.57,0.61,0.273905387,,
argonne,295,5193.679114,1,1.004455761,0.21,0.52,0.56,0.293774793,,
argonne,850,Infinity,1,1.579399142,0.05,0.63,0.82,0.059996448,,
argonne,408,33934.66312,1,1.97275641,0.1,0.55,0.84,0.054243869,,
argonne,804,1270.230018,1,1.003150158,0.19,0.54,0.59,0.283896569,,
argonne,651,3635534.474,0.002162422,1.002892263,0.71,0.71,0.77,0.368547253,,
argonne,463,220533.873,1,1.002143623,0.27,0.76,0.81,0.241667574,,
argonne,235,4905.311072,1,1.005194491,0.24,0.54,0.58,0.262522785,,
argonne,497,32083.19861,1,1.001951854,0.27,0.75,0.81,0.229673917,,
argonne,669,14793.09809,0.003412969,1.004990643,0.75,0.75,0.82,0.38244524,,
argonne,803,191663.722,1,1.006594169,0.21,0.58,0.62,0.257048048,,
argonne,490,1147.737714,1,1.002504696,0.26,0.73,0.8,0.240700423,,
argonne,232,268139.2004,1,1.00284948,0.28,0.53,0.57,0.281976364,,
argonne,464,8128.717017,1,1.006263048,0.28,0.77,0.84,0.219915011,,
argonne,656,2823.748397,0.003093102,1.003103662,0.73,0.73,0.8,0.387313318,,
argonne,499,2313.153167,1,1.003501401,0.26,0.73,0.79,0.239192686,,
argonne,835,1126.73931,1,1.002091714,0.22,0.53,0.57,0.287063622,,
argonne,694,9955329.906,0.003587229,1.002998681,0.74,0.75,0.81,0.334361223,,
argonne,452,68735.79915,1,1.002792758,0.26,0.74,0.81,0.227656217,,
argonne,660,1724.165909,0.003774602,1.00378993,0.69,0.69,0.75,0.378319481,,
argonne,204,2590.507039,0.002201431,1.004424779,0.75,0.74,0.81,0.391316495,,
argonne,658,527299.1713,0.002863203,1.003832641,0.81,0.76,0.83,0.343624517,,
argonne,832,268584.216,1,1.00284948,0.21,0.52,0.57,0.281368911,,
argonne,203,70011.09804,0.004037267,1.005623243,0.78,0.72,0.78,0.377691866,,
argonne,667,13936.32526,0.002811142,1.005138746,0.73,0.73,0.79,0.387668554,,
argonne,455,79771.47709,1,1.006336346,0.26,0.74,0.81,0.222897099,,
argonne,693,1906323.293,0.004686618,1.010268698,0.85,0.82,0.9,0.315385594,,
argonne,294,47002.15722,0.999695586,1.001219512,0.22,0.53,0.57,0.29368864,,
argonne,604,Infinity,1,2.050040139,0.06,0.52,0.82,0.050087096,,
argonne,436,1711101.877,1,1.003718394,0.28,0.75,0.82,0.237996458,,
argonne,260,696856.4232,1,1.00387401,0.3,0.58,0.62,0.269982331,,
argonne,851,1310.759728,1,1.751381215,0.05,0.61,0.84,0.053723404,,
argonne,409,69140.92849,1,1.429068755,0.14,0.69,0.84,0.08288753,,
argonne,267,7572.071851,1,1.006979695,0.21,0.52,0.57,0.270433578,,
argonne,869,Infinity,1,1.603970223,0.06,0.65,0.82,0.059128169,,
argonne,431,12285.16611,1,1.006714789,0.28,0.75,0.82,0.218651113,,
argonne,603,Infinity,1,1.600498857,0.06,0.58,0.75,0.047917354,,
argonne,293,1966.240049,1,1.002851928,0.27,0.58,0.62,0.27302944,,
argonne,856,1798.126748,1,1.866615854,0.05,0.57,0.84,0.053640092,,
argonne,258,209217.2134,1,1.004126701,0.2,0.54,0.58,0.262580025,,
argonne,407,Infinity,1,1.348263714,0.21,0.81,0.93,0.092251458,,
argonne,635,1798.126748,1,1.866615854,0.06,0.51,0.75,0.049420003,,
argonne,251,2820.772716,1,1.003103662,0.22,0.54,0.59,0.284309272,,
argonne,860,36227.47862,1,2.024428376,0.05,0.56,0.84,0.042823863,,
argonne,438,10627.1907,1,1.004354478,0.27,0.76,0.82,0.232292917,,
argonne,894,Infinity,1,2.124042879,0.04,0.52,0.85,0.047971324,,
argonne,858,16091.82499,1,1.493233784,0.06,0.66,0.82,0.062588266,,
argonne,256,17322.71863,1,1.005039688,0.22,0.55,0.6,0.260958995,,
argonne,632,26754.47938,1,1.699080524,0.06,0.54,0.75,0.051038421,,
argonne,400,76302.88713,1,1.502307337,0.12,0.7,0.86,0.076251215,,
argonne,893,79851.07147,1,1.707207207,0.07,0.65,0.88,0.058999429,,
argonne,269,129767.4418,1,1.003589744,0.24,0.53,0.57,0.292344437,,
argonne,867,33937.98769,1,1.98655191,0.05,0.55,0.84,0.052335702,,
argonne,659,1020.555154,0.004694836,1.005820977,0.89,0.82,0.89,0.343958371,,
argonne,833,34881.43163,1,1.001219512,0.22,0.52,0.56,0.291898843,,
argonne,692,3628.183791,0.008256786,1.006022845,0.84,0.77,0.83,0.339257867,,
argonne,202,105195.0707,0.005143541,1.003601873,0.84,0.78,0.83,0.372373347,,
argonne,454,21685.57258,1,1.007324157,0.27,0.76,0.83,0.227341713,,
argonne,666,30665.65409,0.004552352,1.004156276,0.85,0.79,0.85,0.36541406,,
argonne,834,3624.370579,1,1.005745516,0.21,0.58,0.62,0.263405773,,
argonne,498,134366.8888,1,1.005573942,0.29,0.74,0.81,0.231205848,,
argonne,661,191663.7288,0.004366812,1.006594169,0.78,0.79,0.86,0.350317845,,
argonne,453,12032.89352,1,1.006251954,0.27,0.75,0.81,0.229181157,,
argonne,205,515372.0165,0.003605514,1.003512133,0.85,0.78,0.84,0.348066052,,
argonne,695,767250.8972,0.007439311,1.007761115,0.85,0.78,0.86,0.348189376,,
argonne,668,5196.765693,0.006335128,1.004455761,0.68,0.69,0.74,0.395495178,,
argonne,802,5108.384865,1,1.005194491,0.21,0.54,0.58,0.261659894,,
argonne,233,8942906.735,1,1.00373599,0.26,0.6,0.63,0.27176294,,
argonne,657,17330.77471,0.003384307,1.005166331,0.75,0.76,0.82,0.351738004,,
argonne,465,2082.557122,1,1.005121951,0.27,0.73,0.8,0.232442405,,
argonne,491,2827.36361,1,1.005572442,0.26,0.72,0.79,0.238107074,,
argonne,805,382.5051802,1,1.002353556,0.22,0.53,0.57,0.293474642,,
argonne,496,6135.474486,1,1.007037748,0.28,0.77,0.83,0.225393407,,
argonne,462,5495.773305,1,1.002237592,0.27,0.76,0.82,0.233938533,,
argonne,650,268584.217,0.003843583,1.00284948,0.69,0.7,0.76,0.376025366,,
argonne,234,1193525.141,1,1.006815788,0.24,0.55,0.6,0.21400834,,
argonne,346,16089.84594,1,1.467889908,0.12,0.66,0.82,0.068161348,,
argonne,948,Infinity,1,2.050040139,0.06,0.57,0.9,0.054234007,,
argonne,174,1286274.755,0.009513843,1.008250192,0.86,0.8,0.85,0.332603029,,
argonne,510,21593.72216,1,1.003728735,0.27,0.75,0.82,0.234720678,,
argonne,722,1150104.244,0.004063098,1.002156205,0.73,0.73,0.79,0.373051093,,
argonne,1028,7679.786036,1,1.369972196,0.17,0.64,0.78,0.087586234,,
