File Name,Compression Throughput (mb/s),Decompression Throughput (mb/s),Compression Ratio,Method
629,29.61,27.97,0.16,FCMGorilla
843,26.5,21.72,0.3,FCMGorilla
286,24.38,21.72,0.41,FCMGorilla
888,41.97,35.82,0.17,FCMGorilla
272,19.52,17.05,0.37,FCMGorilla
424,12.21,11.2,0.42,FCMGorilla
616,34.05,36.75,0.16,FCMGorilla
844,24.05,22.35,0.32,FCMGorilla
611,22.78,24.14,0.17,FCMGorilla
423,20.76,16.57,0.28,FCMGorilla
275,22.59,9.1,0.36,FCMGorilla
281,23.63,23.68,0.3,FCMGorilla
257,16.89,11.69,0.35,FCMGorilla
859,26.29,25.5,0.16,FCMGorilla
401,33.9,31.15,0.29,FCMGorilla
633,38.54,36.82,0.17,FCMGorilla
866,42.69,43.77,0.15,FCMGorilla
268,19.37,12.1,0.38,FCMGorilla
892,30.63,19.98,0.16,FCMGorilla
634,28.77,21.28,0.17,FCMGorilla
406,33.27,31.21,0.27,FCMGorilla
250,19.55,22.16,0.4,FCMGorilla
895,39.88,26.59,0.2,FCMGorilla
861,26.22,22.79,0.17,FCMGorilla
439,9.93,18.42,0.43,FCMGorilla
292,15.64,18.61,0.4,FCMGorilla
868,42.8,23.22,0.17,FCMGorilla
266,13.6,19.1,0.39,FCMGorilla
602,30.42,24.22,0.15,FCMGorilla
430,18.58,15.62,0.43,FCMGorilla
259,13.97,11.19,0.38,FCMGorilla
857,39.56,41.58,0.16,FCMGorilla
437,21.34,17.54,0.44,FCMGorilla
605,44.38,26.67,0.14,FCMGorilla
261,22.87,14.17,0.4,FCMGorilla
295,17.63,12.36,0.32,FCMGorilla
850,38.32,26.43,0.18,FCMGorilla
408,23.75,22.72,0.22,FCMGorilla
804,17.09,16.71,0.31,FCMGorilla
651,7.61,13.51,0.79,FCMGorilla
463,13.14,15.82,0.43,FCMGorilla
235,19.15,13.4,0.38,FCMGorilla
497,13.79,9.25,0.43,FCMGorilla
669,8.29,10.24,0.84,FCMGorilla
803,21.1,14.77,0.33,FCMGorilla
490,19.15,18.65,0.42,FCMGorilla
232,27.69,19.46,0.4,FCMGorilla
464,7.53,14.16,0.45,FCMGorilla
656,7.23,6.86,0.82,FCMGorilla
499,12.83,11.51,0.42,FCMGorilla
835,27.8,26.58,0.3,FCMGorilla
694,8.76,7.11,0.83,FCMGorilla
452,15.43,16.0,0.43,FCMGorilla
660,14.05,14.16,0.77,FCMGorilla
204,10.91,12.02,0.84,FCMGorilla
658,9.04,7.03,0.86,FCMGorilla
832,22.72,25.86,0.3,FCMGorilla
203,13.5,12.48,0.8,FCMGorilla
667,11.72,13.27,0.82,FCMGorilla
455,12.71,11.15,0.43,FCMGorilla
693,10.52,8.32,0.93,FCMGorilla
294,19.47,16.16,0.43,FCMGorilla
604,29.69,29.89,0.15,FCMGorilla
436,19.5,20.44,0.43,FCMGorilla
260,25.0,23.39,0.41,FCMGorilla
851,42.3,44.35,0.17,FCMGorilla
409,32.43,23.89,0.29,FCMGorilla
267,25.55,14.21,0.37,FCMGorilla
869,27.07,23.66,0.18,FCMGorilla
431,13.02,18.32,0.44,FCMGorilla
603,26.55,32.72,0.16,FCMGorilla
293,26.72,11.89,0.4,FCMGorilla
856,28.98,25.2,0.16,FCMGorilla
258,17.69,25.2,0.37,FCMGorilla
407,31.14,27.07,0.35,FCMGorilla
635,31.12,33.6,0.15,FCMGorilla
251,22.81,13.25,0.37,FCMGorilla
860,30.48,26.66,0.15,FCMGorilla
438,14.74,15.58,0.43,FCMGorilla
894,37.75,49.3,0.15,FCMGorilla
858,41.9,42.1,0.18,FCMGorilla
256,26.7,26.32,0.32,FCMGorilla
632,34.51,27.99,0.15,FCMGorilla
400,18.69,16.39,0.3,FCMGorilla
893,13.0,23.56,0.19,FCMGorilla
269,24.13,21.15,0.32,FCMGorilla
867,33.5,31.22,0.16,FCMGorilla
