File Name,Compression Throughput (mb/s),Decompression Throughput (mb/s),Compression Ratio,Method
634,110.6,164.3,0.56,SprintzRef
406,105.95,140.6,0.66,SprintzRef
250,130.29,182.22,0.6,SprintzRef
895,75.97,123.27,0.7,SprintzRef
861,63.64,84.34,0.58,SprintzRef
439,79.02,123.13,0.75,SprintzRef
292,102.94,142.79,0.58,SprintzRef
868,83.33,120.49,0.63,SprintzRef
266,95.6,141.51,0.59,SprintzRef
602,107.47,187.51,0.52,SprintzRef
430,101.85,131.34,0.75,SprintzRef
259,124.96,131.12,0.58,SprintzRef
857,100.21,150.33,0.57,SprintzRef
437,57.88,71.66,0.75,SprintzRef
605,73.71,95.31,0.51,SprintzRef
261,25.34,93.11,0.57,SprintzRef
295,145.77,188.49,0.52,SprintzRef
850,118.97,154.53,0.63,SprintzRef
408,121.5,168.91,0.55,SprintzRef
804,87.97,114.27,0.54,SprintzRef
651,88.23,113.96,0.71,SprintzRef
463,102.82,131.86,0.76,SprintzRef
235,120.36,203.6,0.54,SprintzRef
497,88.1,134.06,0.75,SprintzRef
669,61.13,72.53,0.75,SprintzRef
803,76.65,96.91,0.58,SprintzRef
490,58.12,10.54,0.73,SprintzRef
232,143.9,209.64,0.53,SprintzRef
464,63.47,90.41,0.77,SprintzRef
656,89.22,110.94,0.73,SprintzRef
499,83.12,107.56,0.73,SprintzRef
835,135.94,211.39,0.53,SprintzRef
694,61.42,70.69,0.75,SprintzRef
452,91.87,134.24,0.74,SprintzRef
660,56.44,70.07,0.69,SprintzRef
204,57.84,68.25,0.74,SprintzRef
658,89.34,131.46,0.76,SprintzRef
832,144.85,207.1,0.52,SprintzRef
203,112.28,142.14,0.72,SprintzRef
667,111.94,145.34,0.73,SprintzRef
455,102.44,147.7,0.74,SprintzRef
693,91.8,129.44,0.82,SprintzRef
294,67.86,81.87,0.53,SprintzRef
604,74.98,99.32,0.52,SprintzRef
436,65.25,83.99,0.75,SprintzRef
260,71.7,72.89,0.58,SprintzRef
851,109.19,144.54,0.61,SprintzRef
409,99.37,130.74,0.69,SprintzRef
267,147.46,188.3,0.52,SprintzRef
869,103.47,134.42,0.65,SprintzRef
431,93.97,122.92,0.75,SprintzRef
603,120.61,124.24,0.58,SprintzRef
