File Name,Compression Throughput (mb/s),Decompression Throughput (mb/s),Compression Ratio,Method
887,515.6,1196.46,0.88,ToBinary
289,759.54,1745.58,0.58,ToBinary
619,588.66,1323.02,0.74,ToBinary
873,531.86,1277.41,0.82,ToBinary
242,764.58,1787.18,0.58,ToBinary
414,352.43,895.73,0.92,ToBinary
626,529.15,1205.35,0.75,ToBinary
477,487.09,1129.17,0.81,ToBinary
645,324.34,604.37,0.8,ToBinary
221,537.69,977.93,0.58,ToBinary
483,336.24,677.21,0.86,ToBinary
810,472.9,1419.32,0.64,ToBinary
448,523.19,1180.81,0.81,ToBinary
484,537.07,1298.46,0.84,ToBinary
828,548.58,1354.15,0.61,ToBinary
226,733.08,1712.78,0.62,ToBinary
642,433.14,995.15,0.76,ToBinary
470,405.19,968.9,0.8,ToBinary
689,445.08,1048.65,0.75,ToBinary
219,443.04,988.18,0.59,ToBinary
817,454.7,1059.77,0.56,ToBinary
680,364.54,768.0,0.83,ToBinary
674,329.18,661.4,0.87,ToBinary
446,370.91,740.54,0.82,ToBinary
210,204.88,362.16,0.78,ToBinary
821,468.13,1046.56,0.58,ToBinary
479,334.23,785.31,0.81,ToBinary
217,547.18,1258.49,0.6,ToBinary
819,551.27,1293.85,0.61,ToBinary
441,378.56,1018.23,0.8,ToBinary
673,359.49,897.27,0.81,ToBinary
687,539.54,1271.29,0.85,ToBinary
826,405.38,821.77,0.58,ToBinary
228,492.29,995.59,0.59,ToBinary
618,532.49,1289.38,0.78,ToBinary
872,498.72,1147.49,0.9,ToBinary
288,455.88,1084.24,0.58,ToBinary
886,443.81,1300.21,0.83,ToBinary
243,568.76,1343.18,0.59,ToBinary
627,498.75,585.45,0.76,ToBinary
415,468.62,1133.21,0.84,ToBinary
881,441.88,1127.89,0.9,ToBinary
875,452.01,1090.12,0.9,ToBinary
412,479.7,1160.51,0.83,ToBinary
620,246.25,1143.11,0.84,ToBinary
244,484.35,702.22,0.64,ToBinary
629,240.88,465.53,0.74,ToBinary
843,496.71,883.43,0.57,ToBinary
286,526.48,1508.95,0.65,ToBinary
888,321.69,783.39,0.83,ToBinary
272,531.87,1304.68,0.56,ToBinary
424,186.1,366.51,0.79,ToBinary
616,331.12,640.94,0.82,ToBinary
844,758.07,1916.95,0.6,ToBinary
611,565.76,1373.47,0.81,ToBinary
423,253.3,619.97,0.89,ToBinary
275,468.45,1176.81,0.58,ToBinary
281,456.4,1148.46,0.58,ToBinary
257,546.86,1350.6,0.59,ToBinary
859,493.19,1229.82,0.85,ToBinary
401,321.64,743.19,0.88,ToBinary
633,363.64,733.34,0.81,ToBinary
866,350.27,675.94,0.84,ToBinary
268,472.99,1376.56,0.62,ToBinary
892,497.95,1235.71,0.84,ToBinary
634,422.71,1075.82,0.81,ToBinary
406,322.17,788.41,0.85,ToBinary
250,416.19,1049.98,0.64,ToBinary
895,349.66,993.21,0.88,ToBinary
861,525.31,1366.49,0.85,ToBinary
439,501.96,1295.07,0.82,ToBinary
292,467.31,1037.94,0.62,ToBinary
868,372.5,706.22,0.84,ToBinary
266,483.89,992.77,0.63,ToBinary
602,417.56,844.96,0.74,ToBinary
430,369.65,755.66,0.81,ToBinary
259,502.64,1034.0,0.63,ToBinary
857,496.31,1208.87,0.84,ToBinary
437,569.37,1373.02,0.82,ToBinary
605,600.8,1466.54,0.75,ToBinary
261,752.71,993.15,0.61,ToBinary
295,600.28,1461.81,0.56,ToBinary
850,554.44,1345.0,0.82,ToBinary
408,541.78,1291.39,0.84,ToBinary
804,455.54,1139.23,0.59,ToBinary
651,348.65,1073.1,0.77,ToBinary
463,414.63,1021.07,0.81,ToBinary
235,707.99,1646.63,0.58,ToBinary
497,389.69,790.72,0.81,ToBinary
669,360.24,691.15,0.82,ToBinary
803,672.5,1703.73,0.62,ToBinary
490,334.0,818.39,0.8,ToBinary
232,732.2,1853.95,0.57,ToBinary
464,547.63,1371.69,0.84,ToBinary
656,563.74,1413.08,0.8,ToBinary
499,345.87,831.47,0.79,ToBinary
835,592.41,1476.59,0.57,ToBinary
694,428.43,1046.59,0.81,ToBinary
452,569.1,1421.3,0.81,ToBinary
660,297.49,726.59,0.75,ToBinary
204,261.48,641.01,0.81,ToBinary
658,259.53,623.11,0.83,ToBinary
832,556.2,1167.21,0.57,ToBinary
203,375.69,746.05,0.78,ToBinary
667,363.76,791.61,0.79,ToBinary
455,522.22,1325.77,0.81,ToBinary
693,512.78,1235.5,0.9,ToBinary
294,590.99,1448.17,0.57,ToBinary
604,553.33,1308.92,0.82,ToBinary
436,379.58,1243.36,0.82,ToBinary
260,546.82,1338.31,0.62,ToBinary
851,494.99,1244.46,0.84,ToBinary
409,533.75,1309.14,0.84,ToBinary
267,810.65,1966.25,0.57,ToBinary
869,389.03,954.28,0.82,ToBinary
431,351.22,761.0,0.82,ToBinary
603,409.47,844.79,0.75,ToBinary
293,678.73,1701.56,0.62,ToBinary
856,316.71,788.59,0.84,ToBinary
258,540.56,1118.55,0.58,ToBinary
407,450.21,1140.0,0.93,ToBinary
635,372.12,739.46,0.75,ToBinary
251,660.46,1745.94,0.59,ToBinary
860,505.44,1272.81,0.84,ToBinary
438,511.59,1251.22,0.82,ToBinary
894,324.13,790.26,0.85,ToBinary
858,325.12,810.12,0.82,ToBinary
256,523.2,1030.01,0.6,ToBinary
632,383.91,792.13,0.75,ToBinary
400,316.22,730.77,0.86,ToBinary
893,378.3,988.12,0.88,ToBinary
269,404.74,861.31,0.57,ToBinary
867,531.46,1322.19,0.84,ToBinary
659,313.37,1171.41,0.89,ToBinary
833,719.81,1815.15,0.56,ToBinary
692,511.39,1382.63,0.83,ToBinary
202,493.73,1380.11,0.83,ToBinary
454,507.66,1258.64,0.83,ToBinary
666,473.37,1251.87,0.85,ToBinary
834,668.1,1680.83,0.62,ToBinary
498,466.66,1183.38,0.81,ToBinary
661,194.88,712.13,0.86,ToBinary
453,490.5,1257.23,0.81,ToBinary
205,498.0,1266.77,0.84,ToBinary
695,336.61,979.41,0.86,ToBinary
668,414.97,1120.3,0.74,ToBinary
802,279.98,1073.66,0.58,ToBinary
233,658.63,1628.51,0.63,ToBinary
657,549.74,1298.04,0.82,ToBinary
465,528.33,1280.59,0.8,ToBinary
491,421.46,1246.23,0.79,ToBinary
805,508.01,1218.89,0.57,ToBinary
496,481.48,1261.85,0.83,ToBinary
462,514.51,1082.54,0.82,ToBinary
650,596.88,1516.73,0.76,ToBinary
234,505.51,1001.96,0.6,ToBinary
346,350.46,704.27,0.82,ToBinary
948,466.42,1179.53,0.9,ToBinary
174,404.88,991.87,0.85,ToBinary
510,421.57,1024.12,0.82,ToBinary
722,570.56,1425.88,0.79,ToBinary
1028,585.84,1420.19,0.78,ToBinary
180,447.21,1084.32,0.78,ToBinary
977,571.94,1390.67,0.79,ToBinary
379,507.51,1219.98,0.89,ToBinary
983,438.87,1113.27,0.78,ToBinary
1017,277.49,674.36,0.77,ToBinary
20,289.72,720.94,0.77,ToBinary
187,230.04,492.75,0.82,ToBinary
18,413.94,1043.12,0.82,ToBinary
725,452.4,1093.27,0.75,ToBinary
517,328.64,749.71,0.81,ToBinary
173,353.67,900.92,0.77,ToBinary
341,356.83,980.39,0.97,ToBinary
27,406.52,1022.52,0.85,ToBinary
1010,351.15,865.27,0.78,ToBinary
9,441.19,1064.51,0.78,ToBinary
984,435.85,1069.01,0.78,ToBinary
970,537.03,1350.47,0.78,ToBinary
528,509.95,1250.91,0.82,ToBinary
1019,490.72,1212.69,0.79,ToBinary
383,481.62,1136.71,0.82,ToBinary
979,389.54,780.0,0.78,ToBinary
145,353.8,799.93,0.83,ToBinary
377,359.09,647.12,0.85,ToBinary
713,544.63,1399.06,0.76,ToBinary
521,132.14,635.59,0.8,ToBinary
11,527.34,1339.43,0.77,ToBinary
1026,506.4,1249.63,0.78,ToBinary
348,494.88,1240.76,0.94,ToBinary
946,558.77,1349.57,0.83,ToBinary
526,547.83,1343.15,0.81,ToBinary
714,537.46,1350.14,0.85,ToBinary
370,468.7,1324.02,0.84,ToBinary
142,445.61,1092.61,0.76,ToBinary
384,332.74,815.57,0.83,ToBinary
7,424.38,1021.84,0.78,ToBinary
29,292.52,607.8,0.78,ToBinary
941,354.37,337.64,0.84,ToBinary
519,360.33,772.3,0.84,ToBinary
1021,400.54,775.95,0.76,ToBinary
16,387.85,768.1,0.78,ToBinary
189,354.35,699.19,0.85,ToBinary
129,338.06,1147.98,0.9,ToBinary
915,535.56,1296.06,0.84,ToBinary
42,560.66,1348.55,0.82,ToBinary
740,596.42,1461.07,0.75,ToBinary
89,477.05,1468.89,0.74,ToBinary
572,506.8,1226.45,0.78,ToBinary
116,540.21,1342.34,0.86,ToBinary
324,513.51,1236.96,0.9,ToBinary
586,615.62,1498.44,0.75,ToBinary
45,216.53,502.41,0.89,ToBinary
778,660.07,1664.59,0.62,ToBinary
912,478.86,1207.21,0.88,ToBinary
581,506.94,1281.72,0.81,ToBinary
323,487.89,1162.13,0.86,ToBinary
111,549.76,1388.94,0.77,ToBinary
575,511.43,1250.55,0.83,ToBinary
747,700.1,1821.26,0.56,ToBinary
1044,537.73,1340.87,0.79,ToBinary
588,434.15,1346.07,0.79,ToBinary
73,446.34,1107.46,0.76,ToBinary
118,361.81,772.46,0.86,ToBinary
924,332.79,742.82,0.89,ToBinary
87,330.77,729.75,0.83,ToBinary
785,547.7,1335.34,0.62,ToBinary
543,510.43,1287.22,0.82,ToBinary
771,732.93,1860.1,0.57,ToBinary
315,777.44,1380.85,0.58,ToBinary
127,613.36,1482.96,0.76,ToBinary
80,538.36,1367.39,0.79,ToBinary
749,749.09,1874.68,0.56,ToBinary
923,473.65,1180.2,0.89,ToBinary
74,553.42,1339.59,0.75,ToBinary
1043,384.64,779.59,0.78,ToBinary
120,393.13,806.54,0.75,ToBinary
312,715.42,1806.82,0.58,ToBinary
776,548.88,1377.26,0.61,ToBinary
544,384.01,291.67,0.75,ToBinary
782,734.0,1827.86,0.57,ToBinary
6,614.23,1541.64,0.75,ToBinary
385,543.99,1284.97,0.83,ToBinary
28,585.74,1520.26,0.76,ToBinary
715,547.88,1379.51,0.75,ToBinary
527,527.13,1335.17,0.8,ToBinary
143,515.35,1234.79,0.91,ToBinary
371,309.38,787.3,0.86,ToBinary
17,440.85,1097.59,0.76,ToBinary
1020,258.98,139.7,0.78,ToBinary
188,358.18,710.81,0.82,ToBinary
940,505.7,1271.31,0.82,ToBinary
518,517.26,1285.07,0.82,ToBinary
376,488.95,1200.65,0.84,ToBinary
144,440.85,1312.49,0.83,ToBinary
978,564.23,1355.65,0.78,ToBinary
520,338.37,857.64,0.8,ToBinary
712,354.58,868.68,0.77,ToBinary
1018,348.98,854.41,0.8,ToBinary
382,387.87,979.92,0.88,ToBinary
1,443.11,1090.12,0.77,ToBinary
947,528.42,1284.1,0.86,ToBinary
349,477.2,1206.46,0.88,ToBinary
1027,531.43,1316.75,0.78,ToBinary
10,539.93,1324.01,0.76,ToBinary
516,505.27,1259.32,0.81,ToBinary
724,413.73,1079.94,0.85,ToBinary
340,344.31,695.57,0.82,ToBinary
172,403.61,794.97,0.78,ToBinary
186,529.17,1308.9,0.78,ToBinary
19,410.38,1030.5,0.83,ToBinary
971,545.58,1369.43,0.78,ToBinary
529,536.73,1399.98,0.82,ToBinary
1011,346.97,853.75,0.79,ToBinary
26,450.35,1099.26,0.77,ToBinary
8,548.36,1426.32,0.79,ToBinary
985,439.11,1073.23,0.78,ToBinary
1029,588.85,1414.94,0.79,ToBinary
181,536.64,1308.45,0.86,ToBinary
175,393.67,982.71,0.86,ToBinary
949,462.26,1158.27,0.85,ToBinary
347,349.76,714.25,0.91,ToBinary
723,373.4,858.97,0.79,ToBinary
511,386.37,828.69,0.82,ToBinary
982,422.76,873.79,0.78,ToBinary
21,499.99,1271.61,0.84,ToBinary
1016,574.48,1437.49,0.78,ToBinary
378,532.77,1289.51,0.85,ToBinary
976,499.73,1079.75,0.77,ToBinary
1042,439.94,1071.84,0.78,ToBinary
75,377.81,1259.29,0.83,ToBinary
748,739.55,1788.46,0.62,ToBinary
81,545.64,1318.36,0.78,ToBinary
922,326.47,679.04,0.83,ToBinary
783,543.66,977.35,0.58,ToBinary
313,419.45,1029.64,0.62,ToBinary
121,368.98,750.59,0.83,ToBinary
545,344.72,757.88,0.78,ToBinary
777,767.46,1963.39,0.58,ToBinary
925,526.49,1255.48,0.88,ToBinary
119,535.99,1285.65,0.86,ToBinary
86,589.76,1445.67,0.75,ToBinary
72,515.83,1276.34,0.79,ToBinary
589,515.84,1274.58,0.81,ToBinary
1045,537.23,1383.11,0.78,ToBinary
770,469.52,977.46,0.61,ToBinary
542,512.2,1224.51,0.78,ToBinary
126,349.35,675.01,0.8,ToBinary
314,704.18,1770.86,0.58,ToBinary
784,484.77,953.56,0.58,ToBinary
779,325.21,777.1,0.63,ToBinary
913,300.0,677.57,0.93,ToBinary
44,349.97,751.22,0.85,ToBinary
110,487.51,1242.1,0.85,ToBinary
322,386.91,972.42,0.87,ToBinary
746,727.93,1832.24,0.63,ToBinary
574,456.98,1114.11,0.76,ToBinary
580,525.94,1325.69,0.86,ToBinary
43,353.86,774.21,0.76,ToBinary
914,376.92,958.83,0.89,ToBinary
128,520.37,1312.07,0.8,ToBinary
587,501.23,1316.98,0.76,ToBinary
573,347.42,734.4,0.83,ToBinary
88,360.36,713.98,0.81,ToBinary
741,389.17,758.99,0.8,ToBinary
325,347.75,361.45,0.85,ToBinary
117,525.73,605.63,0.76,ToBinary
508,410.7,1034.83,0.82,ToBinary
950,135.43,778.75,0.82,ToBinary
198,416.02,845.61,0.83,ToBinary
1030,442.53,889.24,0.79,ToBinary
361,478.23,1168.84,0.85,ToBinary
153,381.85,769.22,0.78,ToBinary
537,559.07,1383.47,0.75,ToBinary
705,411.53,757.78,0.77,ToBinary
38,523.28,1321.62,0.79,ToBinary
395,478.68,1142.67,0.89,ToBinary
1037,540.72,1356.07,0.78,ToBinary
359,484.09,1162.83,0.86,ToBinary
957,543.17,1293.7,0.79,ToBinary
392,484.84,1165.46,0.86,ToBinary
1008,404.04,793.37,0.76,ToBinary
702,496.4,1237.42,0.85,ToBinary
530,534.69,1354.25,0.82,ToBinary
154,425.55,1048.32,0.79,ToBinary
968,432.44,1078.21,0.76,ToBinary
366,516.85,1263.27,0.88,ToBinary
995,363.0,728.37,0.77,ToBinary
36,364.62,828.16,0.82,ToBinary
1001,402.38,1023.95,0.85,ToBinary
539,525.45,1335.42,0.78,ToBinary
961,583.19,1404.14,0.79,ToBinary
196,577.9,1428.78,0.77,ToBinary
162,526.1,1298.01,0.81,ToBinary
350,481.76,1210.26,0.88,ToBinary
734,540.22,1369.86,0.84,ToBinary
506,544.6,1307.53,0.85,ToBinary
966,439.93,1112.42,0.78,ToBinary
368,346.42,656.54,0.88,ToBinary
1006,355.72,693.92,0.79,ToBinary
31,511.46,1303.61,0.82,ToBinary
992,508.88,1375.59,0.77,ToBinary
501,393.55,979.48,0.8,ToBinary
733,417.24,1063.2,0.8,ToBinary
357,407.87,990.27,0.83,ToBinary
165,320.93,811.38,0.86,ToBinary
959,551.26,1372.51,0.84,ToBinary
191,365.67,1074.24,0.77,ToBinary
1039,424.7,1046.25,0.79,ToBinary
767,551.33,1326.94,0.59,ToBinary
555,555.16,1371.83,0.74,ToBinary
131,337.58,673.9,0.78,ToBinary
303,657.35,1682.83,0.63,ToBinary
793,488.68,1081.9,0.57,ToBinary
932,361.07,702.79,0.88,ToBinary
91,522.14,1326.05,0.79,ToBinary
758,343.67,935.55,0.62,ToBinary
65,282.31,659.96,0.78,ToBinary
1052,350.29,858.25,0.79,ToBinary
794,460.29,1146.31,0.59,ToBinary
304,507.42,1266.85,0.67,ToBinary
136,415.73,1038.04,0.85,ToBinary
552,459.18,1119.62,0.75,ToBinary
760,417.2,767.55,0.6,ToBinary
1055,345.47,878.14,0.78,ToBinary
62,280.22,518.19,0.84,ToBinary
599,328.39,805.99,0.79,ToBinary
96,362.29,899.22,0.75,ToBinary
935,323.86,793.55,0.85,ToBinary
109,408.09,1042.45,0.82,ToBinary
590,546.96,1354.49,0.76,ToBinary
564,542.35,1349.8,0.76,ToBinary
756,536.27,1664.26,0.62,ToBinary
332,472.93,1174.18,0.85,ToBinary
100,398.9,986.44,0.82,ToBinary
54,318.42,716.77,0.86,ToBinary
903,475.89,1188.26,0.84,ToBinary
769,565.0,1488.36,0.57,ToBinary
107,235.34,477.09,0.86,ToBinary
335,312.62,771.66,0.88,ToBinary
751,360.14,953.18,0.57,ToBinary
563,281.26,698.12,0.78,ToBinary
98,366.83,915.99,0.76,ToBinary
597,335.58,814.2,0.81,ToBinary
904,281.23,485.02,0.89,ToBinary
138,542.96,1379.92,0.77,ToBinary
53,408.67,1028.05,0.82,ToBinary
30,40.33,826.73,0.77,ToBinary
1007,342.06,847.68,0.78,ToBinary
993,322.34,856.22,0.78,ToBinary
369,356.21,1226.35,0.9,ToBinary
967,490.89,1296.94,0.81,ToBinary
190,548.05,1390.97,0.76,ToBinary
1038,526.8,1353.48,0.78,ToBinary
732,548.21,1371.4,0.76,ToBinary
500,352.27,758.16,0.81,ToBinary
958,397.6,540.33,0.77,ToBinary
164,499.09,1258.94,0.82,ToBinary
356,383.92,973.82,0.89,ToBinary
538,344.31,838.34,0.8,ToBinary
960,342.72,1051.81,0.79,ToBinary
994,277.93,714.54,0.77,ToBinary
1000,286.35,714.35,0.77,ToBinary
37,260.56,735.25,0.76,ToBinary
351,270.6,658.32,0.82,ToBinary
163,285.15,702.63,0.77,ToBinary
507,178.39,369.99,0.83,ToBinary
735,236.94,509.92,0.78,ToBinary
197,369.35,778.46,0.8,ToBinary
