File Name,Compression Throughput (mb/s),Decompression Throughput (mb/s),Compression Ratio,Method
120,54.15,144.62,0.76,GorillaRef
312,152.75,174.62,0.2,GorillaRef
776,192.17,254.96,0.21,GorillaRef
544,230.34,180.12,0.06,GorillaRef
782,169.03,216.42,0.21,GorillaRef
6,177.96,107.56,0.14,GorillaRef
385,167.91,145.76,0.13,GorillaRef
28,193.0,177.96,0.13,GorillaRef
715,107.91,158.5,0.69,GorillaRef
527,74.35,133.56,0.27,GorillaRef
143,45.96,74.26,0.91,GorillaRef
371,118.03,136.65,0.13,GorillaRef
17,56.21,114.37,0.1,GorillaRef
1020,198.07,236.75,0.16,GorillaRef
188,95.16,145.57,0.75,GorillaRef
940,236.68,180.92,0.07,GorillaRef
518,162.12,226.12,0.27,GorillaRef
376,200.55,153.6,0.1,GorillaRef
144,54.07,80.13,0.76,GorillaRef
978,185.13,165.03,0.14,GorillaRef
520,96.12,91.04,0.26,GorillaRef
712,65.4,95.51,0.71,GorillaRef
1018,165.72,133.19,0.16,GorillaRef
382,189.25,144.99,0.11,GorillaRef
1,199.6,173.33,0.12,GorillaRef
947,221.98,139.19,0.04,GorillaRef
349,127.45,219.96,0.18,GorillaRef
1027,127.76,121.32,0.18,GorillaRef
10,294.73,231.82,0.15,GorillaRef
516,119.45,113.61,0.27,GorillaRef
724,48.2,81.06,0.78,GorillaRef
340,109.82,113.48,0.08,GorillaRef
172,67.66,84.82,0.79,GorillaRef
186,59.77,44.69,0.79,GorillaRef
19,229.45,88.08,0.09,GorillaRef
971,172.36,60.37,0.15,GorillaRef
529,139.82,37.55,0.28,GorillaRef
1011,243.05,76.89,0.17,GorillaRef
26,178.32,116.59,0.14,GorillaRef
8,330.55,96.93,0.08,GorillaRef
985,164.97,51.03,0.18,GorillaRef
1029,126.66,58.62,0.18,GorillaRef
181,78.51,37.08,0.87,GorillaRef
175,50.28,29.37,0.87,GorillaRef
949,271.28,57.4,0.05,GorillaRef
347,167.53,42.46,0.12,GorillaRef
723,66.71,27.52,0.73,GorillaRef
511,147.05,40.76,0.27,GorillaRef
982,151.25,79.36,0.15,GorillaRef
21,209.03,54.2,0.11,GorillaRef
1016,173.23,121.72,0.16,GorillaRef
378,226.87,65.04,0.08,GorillaRef
976,206.99,50.83,0.16,GorillaRef
1042,160.45,48.32,0.16,GorillaRef
75,184.64,46.36,0.11,GorillaRef
